Video_ID,Absence or Avoidance of Eye Contact,Aggressive Behavior,Hyper- or Hyporeactivity to Sensory Input,Non-Responsiveness to Verbal Interaction,Non-Typical Language,Object Lining-Up,Self-Hitting or Self-Injurious Behavior,Self-Spinning or Spinning Objects,Upper Limb Stereotypies,Background
6qCRoqnOIq0_37_52,0,0,1,0,0,0,1,0,0,0
6QJOoHKzfOQ_59_71,1,0,0,1,0,0,0,0,1,0
6uWELJNOMHm8Kml_355_382,0,0,1,0,0,0,0,0,1,0
6wmrM_JCDVc_367_377,1,0,0,1,0,0,0,0,0,0
6wmrM_JCDVc_407_417,1,0,0,1,0,0,0,0,0,0
6wmrM_JCDVc_418_428,1,0,0,1,0,0,0,0,0,0
6zqZyLcjwXg_1_6,0,0,0,0,0,0,0,0,0,1
6zqZyLcjwXg_20_23,0,0,0,0,0,0,0,1,0,0
743718686766262_202_210,0,0,1,0,0,0,0,0,0,0
7ak5wT-DU3U_15_18,0,1,0,0,0,0,1,0,0,0
7ak5wT-DU3U_20_23,0,0,0,0,0,0,1,0,0,0
7ak5wT-DU3U_69_80,0,1,0,0,0,0,1,0,0,0
7gTzEwT8eNA_0_5,0,1,1,0,0,0,1,0,0,0
7lgAK1z-Scs_0_26,0,0,0,0,0,0,0,0,1,0
81BdRQm-rhw_25_30,0,0,0,0,0,0,0,0,1,0
81BdRQm-rhw_9_14,0,0,0,0,0,0,0,0,1,0
831091434545664_15_26,0,0,1,0,0,0,0,0,0,0
831091434545664_27_31,0,0,1,0,0,0,0,0,1,0
8bWc5GC-OT0_0_6,0,0,0,0,0,0,1,0,1,0
8Mm02aD6Pf0_119_133,0,0,0,0,1,0,0,0,1,0
8Mm02aD6Pf0_53_71,0,0,0,0,1,0,0,0,1,0
8Mm02aD6Pf0_82_101,0,0,0,0,1,0,0,0,1,0
8N2aiSrfGeE_126_144,1,1,0,0,0,0,0,0,0,0
8N2aiSrfGeE_151_156,1,1,0,0,0,0,0,0,1,0
8N2aiSrfGeE_306_311,0,1,0,0,0,0,0,0,0,0
8N2aiSrfGeE_452_468,0,1,0,0,0,0,0,0,1,0
8N2aiSrfGeE_98_112,0,1,0,0,0,0,0,0,1,0
8O3FC86WjWU_264_275,1,0,0,0,0,0,0,0,1,0
8OW32QczJsw_56_60,1,0,0,1,0,0,0,0,0,0
8R1MfXoI3mo_0_79,0,0,1,0,1,0,0,1,0,0
8SrUO-NdSZU_2_20,0,0,1,0,0,0,1,0,0,0
8vFUIFEfRpA_2_14,0,0,0,0,0,0,0,0,1,0
9AJdgIFysFU_30_44,0,0,0,0,0,1,0,0,0,0
9gTPS0cX4VQ_244_255,1,0,0,1,0,0,0,0,0,0
9gTPS0cX4VQ_44_48,1,0,0,0,0,0,0,0,0,0
9KwQySRpDno_157_164,1,0,0,1,0,0,0,0,0,0
9KwQySRpDno_17_35,0,0,0,0,0,0,0,0,1,0
9KwQySRpDno_42_45,0,0,0,0,0,0,0,0,1,0
9V7XTA6ysgI_0_35,0,0,0,1,0,0,0,1,0,0
9VoushTH20Q_355_364,1,0,0,0,0,0,0,0,0,0
9VoushTH20Q_364_369,1,0,0,1,0,0,0,0,0,0
9VoushTH20Q_370_379,1,0,1,1,0,0,0,0,0,0
9VoushTH20Q_382_385,1,0,0,1,0,0,0,0,0,0
9VoushTH20Q_390_410,1,0,0,1,0,0,0,0,0,0
9VoushTH20Q_412_421,1,0,0,1,0,0,0,0,0,0
9VoushTH20Q_427_447,0,0,0,0,0,0,1,0,0,0
9VoushTH20Q_484_492,0,0,0,0,0,0,1,0,0,0
9zOrUA7Kn4o_0_25,0,0,1,0,0,0,1,0,1,0
a326o-cE1Kw_0_27,0,0,0,0,0,0,0,1,0,0
a5xR1xoUwTs_0_84,0,0,1,0,0,0,0,1,0,0
adIKRHRthGE_18_22,0,0,0,0,0,0,1,0,0,0
AGmXuSY4gx0_10_15,1,0,0,0,1,0,0,0,1,0
aLuqZIzEz-Q_0_7,1,0,1,1,0,0,0,1,1,0
AQ-jO6O5gow_12_16,0,0,0,0,1,0,0,0,1,0
arn5UCMLlBo_2_15,0,0,1,0,0,0,0,1,0,0
assj01YCKFI_14_17,0,1,0,0,0,0,0,0,0,0
assj01YCKFI_35_41,0,1,0,0,0,0,0,0,0,0
assj01YCKFI_473_483,0,1,0,0,0,0,0,0,0,0
assj01YCKFI_519_528,0,1,0,0,0,0,0,0,0,0
assj01YCKFI_7_12,0,1,0,0,0,0,0,0,0,0
AXghcX_Bjac_56_63,0,0,0,0,0,0,0,1,1,0
AYVZL7ft8NI_0_7,0,0,0,0,0,0,0,1,1,0
B4g7weyNjevoSUZ_285_296,0,0,1,0,0,0,0,0,0,0
B4g7weyNjevoSUZ_94_104,0,0,1,0,0,0,0,0,0,0
bbBtC7vAyow_110_114,1,0,0,0,0,0,0,0,1,0
bbBtC7vAyow_120_130,0,0,0,0,1,0,0,0,1,0
bbBtC7vAyow_135_151,0,0,0,0,1,0,0,0,1,0
bbBtC7vAyow_174_200,0,0,0,0,1,0,0,0,1,0
bbBtC7vAyow_205_210,1,0,0,0,1,0,0,0,1,0
bbBtC7vAyow_35_43,1,0,0,0,1,0,0,0,1,0
bbBtC7vAyow_65_87,0,0,0,0,1,0,0,0,1,0
BcuZ3C9Q3Jg_0_18,0,1,1,0,0,0,1,0,1,0
BcuZ3C9Q3Jg_18_44,0,1,1,0,0,0,1,0,1,0
bDQs4Ckftxs_100_110,0,1,0,0,1,0,0,0,0,0
bDQs4Ckftxs_163_172,0,1,0,0,0,0,0,0,0,0
bDQs4Ckftxs_235_244,0,1,0,0,0,0,0,0,0,0
bDQs4Ckftxs_33_42,0,1,0,0,0,0,0,0,0,0
bFm2V8jSZJQ_29_44,0,1,0,0,0,0,0,0,0,0
bFm2V8jSZJQ_49_74,0,1,0,0,0,0,1,0,0,0
bFm2V8jSZJQ_75_92,0,1,0,0,0,0,0,0,0,0
BFwWZ57Is2U_175_185,1,0,0,0,0,0,0,0,0,0
BgAN_XySsSM_5_12,1,0,0,1,0,0,0,0,0,0
bGn68c4mxO8_105_124,0,0,0,0,0,1,0,0,0,0
bGn68c4mxO8_130_149,0,0,0,0,0,1,0,0,0,0
bJBOhsNG_k8_24_31,0,0,0,0,0,0,0,0,1,0
bKOfrT9H5Gs_168_175,0,0,0,0,0,0,0,1,1,0
bKOfrT9H5Gs_46_60,0,0,0,0,0,0,0,1,1,0
bKOfrT9H5Gs_61_63,0,0,0,0,0,0,0,1,0,0
BO5V66dv6Iw0SkS_204_210,0,0,1,0,0,0,0,0,1,0
BO5V66dv6Iw0SkS_399_409,0,0,1,0,0,0,0,0,1,0
BpP916oG4BU_0_90,0,0,0,0,0,0,0,1,1,0
bTfelkLRv9s_0_10,0,0,0,0,0,0,1,0,0,0
bTfelkLRv9s_17_93,0,0,0,0,0,0,1,0,0,0
bTfelkLRv9s_96_99,0,0,0,0,0,0,1,0,0,0
BUAFdqrw4fA_20_44,0,0,0,0,0,0,1,0,0,0
C_O8vyrSt0Q_5_15,0,0,0,0,0,0,0,0,1,0
c16ptAKjicI_53_67,1,0,0,1,0,0,0,0,0,0
cD4UhjFgWZU_23_27,1,0,0,1,0,0,0,0,0,0
cD4UhjFgWZU_29_38,1,0,0,1,0,0,0,0,0,0
cDxXAebpnu3JuYb_37_43,1,0,0,1,0,0,0,0,0,0
CfU8-kJZR70_114_122,0,1,0,0,0,0,0,0,0,0
CfU8-kJZR70_99_104,0,1,0,0,0,0,0,0,0,0
cGgz9LDnWbo_34_42,0,0,0,0,1,0,0,0,1,0
cGgz9LDnWbo_60_65,0,0,0,0,1,0,0,0,1,0
cGgz9LDnWbo_70_77,0,0,0,0,1,0,0,0,0,0
Cs9JOiW47q0_488_491,0,0,0,0,1,0,0,0,1,0
Cs9JOiW47q0_493_495,0,0,0,0,1,0,0,0,1,0
Cs9JOiW47q0_5_36,1,0,0,0,1,1,0,0,0,0
Cs9JOiW47q0_83_99,0,0,0,0,1,1,0,0,0,0
ctm028b6zq4_124_128,0,0,0,0,0,0,0,0,1,0
ctm028b6zq4_170_176,0,0,0,0,0,0,0,0,1,0
ctm028b6zq4_260_263,0,0,0,0,0,0,0,0,1,0
ctm028b6zq4_269_274,0,0,0,0,0,0,0,0,1,0
CV7u_oqTckU_48_58,0,0,1,0,0,0,0,0,0,0
CV7u_oqTckU_6_18,0,0,1,0,0,0,0,0,1,0
cydR1IuT3a8_0_4,1,0,0,1,0,0,0,0,0,0
cydR1IuT3a8_10_14,1,0,0,0,0,0,0,0,0,0
D0x6P-UhGgs_0_160,0,1,0,0,0,0,1,0,0,0
D9ZQTNbAt_w_408_418,1,0,0,1,0,0,0,0,1,0
Daldg7wciB0_150_157,1,0,0,0,1,0,0,0,0,0
Daldg7wciB0_38_53,1,0,1,1,0,0,0,0,1,0
DaOMBKX_NX8_0_35,0,0,1,0,0,0,0,0,1,0
DaOMBKX_NX8_183_253,0,0,0,0,1,0,1,0,1,0
DaOMBKX_NX8_35_83,0,0,0,0,0,0,0,0,1,0
DaOMBKX_NX8_83_183,0,0,1,0,0,0,1,0,1,0
dcQdbI0IPlc_86_96,1,0,0,1,0,0,0,0,0,0
ddL8qhQuutMK3Yg_240_260,1,0,1,0,0,0,0,0,0,0
dHzWJDiG540_2_7,0,1,0,0,0,0,0,0,0,0
DKavAdp8OKI_105_116,0,1,0,0,0,0,0,0,0,0
DKavAdp8OKI_53_55,0,1,0,0,0,0,0,0,0,0
DrIcscvrlEQ_0_10,0,0,0,0,1,0,0,0,1,0
DrIcscvrlEQ_17_22,0,0,0,0,0,0,0,0,1,0
DrIcscvrlEQ_28_34,0,0,0,0,0,0,0,0,1,0
dxTGnfkSiZI_17_39,0,0,0,0,0,0,0,0,1,0
dxTGnfkSiZI_39_74,0,0,0,0,0,0,0,0,1,0
dygDLE1eAZc_0_30,0,0,0,0,1,0,0,1,0,0
DYVI8YxEL0k_116_123,0,0,1,0,0,0,0,0,0,0
DYVI8YxEL0k_144_154,0,0,1,0,1,0,0,0,1,0
dZXVJk5tCZg_26_27,0,0,0,0,0,0,0,0,1,0
E-XgK_LaFKI_11_21,1,0,0,0,1,0,0,0,1,0
E-XgK_LaFKI_28_38,0,0,0,0,1,0,0,0,1,0
E-XgK_LaFKI_48_58,1,0,0,0,1,0,0,0,1,0
E-XgK_LaFKI_65_75,1,0,0,0,1,0,0,0,1,0
E0KN_mXz_kI_18_20,0,1,0,0,0,0,0,0,0,0
E0KN_mXz_kI_33_41,0,1,0,0,0,0,0,0,0,0
E0KN_mXz_kI_94_100,0,1,0,0,0,0,0,0,0,0
EAuqFS3FrJA_0_150,0,0,1,0,0,0,0,1,0,0
EBYYJSqkktw_0_57,0,0,0,0,0,1,0,0,0,0
eFkXlzhAOQc_11_15,0,1,0,0,0,0,0,0,0,0
eFkXlzhAOQc_198_200,0,1,0,0,0,0,0,0,0,0
eFkXlzhAOQc_21_27,0,1,0,0,0,0,0,0,0,0
eFkXlzhAOQc_247_248,0,1,0,0,0,0,0,0,0,0
EFVbR45okQI_0_3,0,0,0,0,0,0,1,0,0,0
EFVbR45okQI_16_18,0,0,0,0,0,0,1,0,0,0
eKQ8MBb_sNU_0_10,0,0,0,0,0,0,0,0,1,0
eLlenCZMSTM_56_59,1,0,0,0,0,0,0,0,1,0
evIF8YyrbGk_0_14,0,0,0,0,0,0,0,1,0,0
Ex4kwGzc_RU_0_11,0,0,0,0,0,0,0,1,0,0
F5H17FHYa-k_48_49,0,0,0,0,0,0,0,0,1,0
f7L66kntZOM_12_37,1,0,0,1,0,0,0,0,0,0
f8ZFf5HsHnA_34_49,1,0,0,1,1,0,0,0,1,0
f8ZFf5HsHnA_4_19,0,0,0,0,1,0,0,0,1,0
faChCLetKOg_0_25,0,0,0,0,0,1,0,0,0,0
faChCLetKOg_50_70,0,0,0,0,0,1,0,0,0,0
fBW6Rnazl_Q_248_252,0,0,0,0,0,0,0,0,1,0
fBW6Rnazl_Q_260_262,0,0,0,0,0,0,0,0,1,0
fBW6Rnazl_Q_92_97,0,0,0,0,0,0,0,0,1,0
Fg5QtY6kJ74_240_251,0,0,1,0,0,0,0,0,0,0
FGTcXAgzxWw_43_50,1,0,0,0,0,0,0,0,0,0
FhZ3-VLkoGw_74_80,0,0,0,0,0,0,0,1,0,0
fje8s6TRKiI_614_619,1,0,0,0,0,0,0,0,0,0
FrGeDf7K2b4_0_62,0,0,0,0,0,0,0,1,0,0
FrsDDZycjfY_129_141,1,0,0,0,1,0,0,0,1,0
FrsDDZycjfY_227_235,1,0,1,0,0,0,0,0,0,0
FrsDDZycjfY_251_258,1,0,0,0,0,0,0,0,0,0
FuiJ8ZRMDEQ_0_6,0,0,0,0,0,0,0,0,1,0
FuiJ8ZRMDEQ_10_13,0,0,0,0,0,0,0,1,0,0
G_oI-RfDzjs_0_31,0,0,1,0,0,0,0,1,0,0
g-bnBByq9Zc_12_17,0,1,0,0,0,0,1,0,0,0
g-bnBByq9Zc_6_7,0,1,0,0,0,0,1,0,0,0
G-OAHRX24z8_8_59,0,0,0,0,0,0,0,1,0,0
G-TH2MVvCBk_14_15,0,0,0,0,0,0,0,0,1,0
G-TH2MVvCBk_15_17,0,0,0,0,0,0,0,0,1,0
gbwXCi4YizE_0_25,0,0,1,0,0,0,0,1,0,0
GCcJWyoGoMY_4_12,0,0,0,0,0,0,0,1,0,0
GF-3T1t1mAo_0_4,0,0,0,0,0,0,1,0,0,0
GF-FsJ6-kqQ_0_27,0,0,0,0,0,0,0,1,0,0
GgT6I3n3tZg_28_59,1,0,0,1,0,0,0,1,0,0
GgT6I3n3tZg_79_86,0,0,0,0,0,0,0,1,0,0
gKED6S0eGYA_1_10,0,0,0,0,0,0,0,1,0,0
GqCot8frcrk_28_30,0,0,0,0,0,0,0,0,0,1
gsrr8uaVARw_0_6,0,0,0,0,0,0,0,1,0,0
GST5f7xEJ4g_149_157,0,0,1,0,0,0,0,0,1,0
GST5f7xEJ4g_41_47,0,0,0,0,0,0,0,1,1,0
GST5f7xEJ4g_57_68,0,0,1,0,0,0,0,0,1,0
GST5f7xEJ4g_78_82,0,0,1,0,0,0,0,0,1,0
GST5f7xEJ4g_91_98,0,0,1,0,0,0,0,0,1,0
Gt-WMpTP7IE_1_70,0,0,0,1,1,0,0,1,1,0
GXM5rvC2TuE_0_6,0,0,0,0,0,0,0,0,0,1
h3DpqzWby8w_205_235,0,0,0,0,0,0,1,0,0,0
hbiKingfbLY_0_43,0,0,0,0,1,0,0,0,1,0
hfM8G6obgpM_19_23,0,1,0,0,0,0,0,0,0,0
hfM8G6obgpM_26_29,0,1,0,0,0,0,0,0,0,0
hfM8G6obgpM_41_47,0,1,0,0,0,0,0,0,0,0
hfM8G6obgpM_5_8,0,1,0,0,0,0,0,0,0,0
hIWUbXvvhO0_0_26,0,0,1,0,0,0,0,0,1,0
hKf-IwHM6TI_10_20,0,0,0,0,0,0,0,0,1,0
HNBXh63INrA_0_10,0,0,0,0,0,0,0,1,1,0
hOSv-qXABGQ_214_226,1,0,0,1,0,0,0,0,0,0
hOSv-qXABGQ_238_251,1,0,0,1,0,0,0,0,0,0
hQ3F49XHHTE_186_196,0,1,0,0,0,0,1,0,0,0
hVFozTdKIBE_17_24,0,0,0,0,0,0,0,0,0,1
HWoLOw8Xzv4_7_10,0,0,0,0,0,0,0,0,1,0
hYv0QjOH4zQ_510_519,1,0,0,0,0,0,0,0,0,0
hZ4pcFGF6azdO3z_0_16,0,0,1,0,0,0,0,0,0,0
HZKLqaAOetE_67_84,1,0,1,1,1,0,0,0,0,0
I0xfBHnUk-s_117_135,0,0,0,0,0,0,0,1,1,0
I2rfPPinMHk_4_8,0,0,0,0,0,0,0,0,1,0
I7fdv1q9-m8_18_24,0,0,0,0,0,0,0,0,1,0
icniRC213IE_0_12,0,0,0,0,0,0,0,1,0,0
iDuAugAykcc_68_85,0,0,0,0,0,0,0,0,1,0
IFJmEqQ0LKA_236_246,1,0,0,0,0,1,0,0,0,0
iHFt3ryRBC4_47_53,0,0,0,0,0,0,0,1,0,0
iHFt3ryRBC4_6_18,0,0,0,0,0,0,0,0,0,1
iHFt3ryRBC4_79_81,0,0,0,0,0,0,0,0,0,1
IIX4a_6P8J0_153_159,1,0,0,1,0,0,0,0,1,0
iJFOiMjo3jQ_0_30,0,0,0,0,0,0,0,0,1,0
INYpgIYNs8ZAp6y_20_22,0,0,1,0,0,0,0,0,0,0
INYpgIYNs8ZAp6y_26_29,0,0,1,0,0,0,0,0,0,0
INYpgIYNs8ZAp6y_31_33,0,0,1,0,0,0,0,0,0,0
IoyiVDbpydI_72_77,0,0,0,0,0,0,0,0,1,0
IXkXseLHSl0_4_16,0,1,0,1,0,0,0,0,0,0
J_toDtFFXd4_0_14,0,0,0,0,0,0,1,0,1,0
j0RfbnfXqks_0_6,0,0,0,0,0,1,0,0,0,0
J2VaHN3aI0s_141_146,0,1,0,0,0,0,0,0,0,0
J2VaHN3aI0s_16_19,0,1,0,0,0,0,0,0,0,0
J2VaHN3aI0s_24_27,0,1,0,0,0,0,0,0,0,0
J2VaHN3aI0s_243_253,0,1,0,0,0,0,0,0,0,0
J2VaHN3aI0s_279_285,0,0,1,0,0,0,0,0,0,0
J2VaHN3aI0s_28_36,0,1,0,0,0,0,0,0,0,0
J2VaHN3aI0s_328_332,0,1,0,0,0,0,0,0,0,0
J2VaHN3aI0s_402_405,0,1,0,0,0,0,0,0,0,0
J2VaHN3aI0s_48_49,0,1,0,0,0,0,0,0,0,0
j4PTf7LgsIE_6_31,0,1,0,0,1,0,1,0,0,0
J4wU0QKbVCA_5_6,0,0,0,0,0,0,0,0,0,1
j7AQDL40kcM_290_300,0,1,0,0,0,0,0,0,0,0
j7AQDL40kcM_340_350,1,0,0,0,0,0,0,0,0,0
JAgwlARu1Zk_0_887,1,0,1,0,1,0,0,0,1,0
JAgwlARu1Zk_889_1753,1,0,1,0,0,0,0,0,1,0
JCHtVLqJWpg_285_289,0,1,0,0,0,0,1,0,0,0
JCHtVLqJWpg_31_37,0,1,0,0,0,0,1,0,0,0
JCHtVLqJWpg_43_47,0,1,0,0,0,0,1,0,0,0
JCHtVLqJWpg_54_62,0,1,0,0,0,0,1,0,0,0
JCHtVLqJWpg_73_80,0,1,0,0,0,0,1,0,0,0
JEYWjVZRzxk_0_6,0,0,0,0,0,0,0,0,1,0
JEYWjVZRzxk_16_27,0,0,1,0,0,0,0,0,1,0
jg_NhlcM2mc_1850_1932,0,1,0,0,0,0,0,0,1,0
jg_NhlcM2mc_1933_2200,0,1,0,0,0,0,0,0,0,0
jg_NhlcM2mc_2201_2270,0,1,0,0,0,0,0,0,0,0
jg_NhlcM2mc_2339_2446,0,1,0,0,0,0,0,0,0,0
JJApKZgfSb8_0_12,0,0,1,0,0,0,0,1,0,0
jJUgD5Ajbkk_1106_1154,1,0,1,0,0,0,0,0,1,0
jJUgD5Ajbkk_382_391,1,1,0,1,0,0,1,0,0,0
jJUgD5Ajbkk_501_560,1,1,1,0,0,0,1,0,1,0
jJUgD5Ajbkk_561_588,1,1,0,1,0,0,1,0,0,0
jJylq8NNqTw_45_62,0,0,1,0,0,0,0,0,1,0
jK7N1lAC6K5Yx8f_41_43,0,0,1,0,0,0,0,1,0,0
JlaebMio93M_36_39,1,1,0,0,0,0,1,0,0,0
JM8BHjJTSFM_3_8,0,0,0,0,0,0,0,0,1,0
jROO9Kr0bEs_0_16,0,0,0,0,0,0,0,1,0,0
JUXit63hMYI_0_10,0,0,0,0,0,0,0,1,0,0
JwaWugM2GIg_0_4,0,0,0,0,1,0,1,0,0,0
JwaWugM2GIg_27_31,0,0,0,0,0,0,1,0,0,0
JwaWugM2GIg_8_12,0,0,0,0,0,0,1,0,0,0
JynBZy8nMKw_0_57,0,0,0,0,1,0,1,0,1,0
jyxFDhjlYy4_74_95,0,0,0,0,0,1,0,0,0,0
kdIPErMJlQI_98_102,0,0,0,0,0,1,0,0,0,0
kFuxwAufWvQ_2_20,1,0,0,1,1,0,0,1,1,0
kkZPbGXD66Y_42_52,0,0,1,0,1,0,0,0,1,0
kkZPbGXD66Y_72_82,0,0,1,0,0,0,0,0,1,0
kkZPbGXD66Y_83_94,0,0,1,0,0,0,0,0,1,0
kkZPbGXD66Y_95_103,0,0,0,0,0,0,1,0,0,0
KmolUC_3puE_56_63,1,1,0,1,0,0,0,0,0,0
KmolUC_3puE_68_72,0,1,0,0,0,0,0,0,0,0
KOEMEF6Pm8g_12_20,0,1,0,0,0,0,0,0,0,0
KPuLA5LlVjg_0_45,0,0,0,0,1,0,0,0,1,0
KR4L06Q4jeY_94_104,0,1,0,0,0,0,0,0,0,0
KtGLGUjyHz4_0_13,0,0,0,0,0,0,0,1,0,0
KvcJpD3hhUU_169_178,1,0,0,1,0,0,0,0,0,0
KvcJpD3hhUU_188_192,0,0,0,0,0,0,0,0,1,0
